geneID	BJ278C1	BJ278C2	BJ278C3	BJ278P1	BJ278P2	BJ278P3	BJ89C1	BJ89C2	BJ89C3	BJ89P1	BJ89P2	BJ89P3
ONIVA01G07170	7.54504255200485	8.080576066638027	9.8534929410899	-0.8615216481639876	7.894201674522979	3.933329435715627	10.944046203265575	11.211326663503213	10.875645160663362	-0.25763339116378553	0.7363730400920536	-0.6981009593866278
ONIVA01G07410	6.6601516581923415	7.252986503229219	6.890685363948014	-3.6697562829511376	1.0244483669254372	-3.072289075314469	6.510626696720715	6.5140210840504125	7.47063396751101	-1.7229899672191682	-2.4627865255705	-1.7365590840429794
ONIVA01G16640	-5.322387019544627	-5.295628724322807	-5.0228377332990934	2.6297561138888166	2.89018706366567	3.7865786501332073	-5.083265333488974	-5.049446693642888	-5.248909221613709	1.1648697433195914	1.9528666608138312	2.6926119586348705
ONIVA01G18750	1.0576579105402977	0.26691899122648277	1.3149875129599848	7.749767747383797	8.372918150417602	8.172876500271489	0.5831089190003913	0.9560414726547447	1.4247677559471195	7.629167067961552	7.775182890477284	8.128527622616975
ONIVA01G18800	-5.322387019544627	-5.295628724322807	-5.0228377332990934	3.084146942198904	2.2248180099039576	2.381696136265636	-5.083265333488974	-5.049446693642888	-5.248909221613709	1.5736615958541798	1.89440965715783	2.4156478460068898
ONIVA01G18920	6.892215085446016	7.131547417484423	9.050151079876699	-1.794972715220588	7.2266283949873085	2.444679362366892	10.318373451987567	9.642479247958587	9.883810276463743	-0.9531116263120348	-0.36740676700137564	-1.896628474729987
ONIVA01G18960	-5.322387019544627	-5.295628724322807	-2.7003566620284474	2.3838314960908096	2.633998192635451	3.3378495999154403	-5.083265333488974	-5.049446693642888	-5.248909221613709	2.2066813599430435	1.7729416118043877	2.422570600220644
ONIVA01G21950	2.781446261807531	3.183812811434713	2.095849999240315	-2.9319789703229215	-5.2461573161273165	-3.811502010303142	2.9284691856786904	3.095161959467933	2.041919654747436	-3.492227073758267	-5.924044164165511	-5.982592300712929
ONIVA01G41350	-5.322387019544627	-5.295628724322807	-5.0228377332990934	5.351735485811568	5.243276168194552	4.64663752203005	-5.083265333488974	-5.049446693642888	-5.248909221613709	5.233475641272978	5.329846349482492	5.238725210116705
ONIVA02G31230	-2.522306127730036	-3.7359449647467295	-3.4158154912944005	3.9953612381531163	3.6857994965371486	3.4250100654835887	-2.2505271689953426	-5.049446693642888	-5.248909221613709	4.711625605118304	4.3467351282455	4.597170602730591
ONIVA03G02020	-3.7382027496524945	-5.295628724322807	-3.435770428370125	6.178564737367149	6.548492608807171	5.434386648836655	-1.9154781692431713	-0.5284415249443144	-5.248909221613709	6.039725658643666	5.762001203398984	5.910352079081124
ONIVA03G04860	-5.322387019544627	-5.295628724322807	-5.0228377332990934	3.888151316807554	5.85854017794295	6.085831465039966	-5.083265333488974	-5.049446693642888	-5.248909221613709	6.288050919216358	6.433134689722395	7.024089284500886
ONIVA03G05940	8.61978660548779	8.786316813472833	9.821227761804279	0.3702388370418572	8.159610708269925	4.11568960516766	10.907216251104915	11.068910905581369	10.81138482066757	1.2862120749339967	2.7339874779178417	1.5749883471270232
ONIVA03G15430	1.620758256110995	1.3327159735008933	0.8607081473763248	8.443034228002274	8.755555751863794	8.861763824600189	2.490121715727969	2.6635169184166587	2.2173597196311263	9.004413768882452	8.89461928645331	9.355521629584791
ONIVA03G20710	4.423455675806258	4.46793464842629	4.356408748124682	-1.3447832317079462	0.5247306556544266	-3.814884172305924	5.498867267614564	4.276917621244901	4.764621778002573	-5.812608100335952	-3.600636636471901	-2.2802273554335817
ONIVA03G21590	-2.9984800651218237	-5.295628724322807	-5.0228377332990934	2.9032317182535885	1.6243764597366028	2.6761895466692964	-5.083265333488974	-2.248903460991883	-5.248909221613709	3.155983700990668	2.567559881115973	3.2452328527673355
ONIVA03G28970	-3.7388490263195258	-3.7159404032165253	-5.0228377332990934	3.6424762718841173	1.5651344660548185	2.4883741220451627	-2.762631954744043	-2.2419723678036454	-3.657914789101549	4.775751427252214	4.6807455500311255	4.6790295899913446
ONIVA03G33910	-1.0744709057444577	-0.16873693637622905	0.336091474993551	6.702544199571218	7.114618133448957	7.307480864486006	-2.2791014426106484	-1.1488424452019534	0.1091432667592802	6.6117380632456815	6.370641389055773	6.777361392003226
ONIVA03G35960	9.101928160824867	9.117388848238527	9.039449829813796	3.280939463321679	1.8961693234765509	2.599778247749882	9.988631391404839	10.198170437086112	8.667423237624044	2.113698975719598	1.0892644790014592	1.2542611868763116
ONIVA04G07260	0.5616060858585802	0.5235008952115515	0.9762578732830349	-5.25471665226864	-5.2461573161273165	-5.395020686486278	4.890482589372017	3.8520368419439572	3.7239250689451007	-5.812608100335952	-4.301103645560181	-5.982592300712929
ONIVA04G24020	-5.322387019544627	-5.295628724322807	-5.0228377332990934	3.9492861905556302	5.058698583077647	5.328021219371427	-3.5012079740274764	-5.049446693642888	-2.9284288609315974	4.986750170074003	4.6086155978123395	5.440203866744022
ONIVA04G24790	3.3566111645968513	2.153070450604203	2.254034465669685	-5.25471665226864	-5.2461573161273165	-5.395020686486278	2.8852201949718244	3.918807323841778	3.0381897819411052	-5.812608100335952	-5.924044164165511	-5.982592300712929
ONIVA05G00140	2.6441449545955806	2.1953600220288	1.9415437313201436	-5.25471665226864	-5.2461573161273165	-5.395020686486278	1.943305058517276	2.663863679349237	2.1520236861914985	-5.812608100335952	-3.602813053781494	-5.982592300712929
ONIVA05G03900	-5.322387019544627	-5.295628724322807	-5.0228377332990934	0.6459741045983481	1.3381920102161284	1.4949295872550237	-5.083265333488974	-5.049446693642888	-5.248909221613709	2.1261825395257614	1.9766539644178063	2.9512209128451237
ONIVA05G10110	-5.322387019544627	-5.295628724322807	-5.0228377332990934	1.0688105458946662	2.087110341355674	2.047158212583962	-5.083265333488974	-5.049446693642888	-5.248909221613709	2.248486751418943	2.1468030773083058	2.9500063139226302
ONIVA05G12780	0.4435694148086133	1.408125893918497	0.5455136968498528	8.65505252103499	9.051286834396846	9.644265155241165	3.3619917660415166	3.075710969968844	3.0579509652181964	9.268700016617869	9.229903497737746	9.777988552704509
ONIVA05G12790	1.9414061061864583	2.352895900405817	2.7503653266738115	11.083714013224153	11.987279947208906	12.049168966790761	3.5612818114317615	3.2360085625054897	3.648981939132819	11.889347018016696	11.949565288501264	12.270503919903271
ONIVA05G12830	-5.322387019544627	-5.295628724322807	-5.0228377332990934	4.057090823893206	4.146504527923526	4.725068395558481	-3.4841133378440143	-5.049446693642888	-5.248909221613709	6.798389302210761	6.44575599394395	7.007304244327814
ONIVA05G12840	-1.244352172952627	-1.6250721899907403	-0.6117254116471329	5.96758537160889	6.732628812357399	6.739176626524324	-2.7516080702451853	-2.6968873738935986	-5.248909221613709	4.235158824880945	4.317100716864875	4.692085884204252
ONIVA05G25500	0.29287736174366724	0.93203695129731845	1.6646221092461377	9.399870916115503	9.89360314531938	10.566037317431455	1.451908897910986	2.2913041221080923	1.6688100898369533	10.975925070307174	10.884198826351993	11.525594637574367
ONIVA05G26060	-5.322387019544627	-5.295628724322807	-5.0228377332990934	2.382202143602108	4.631617407401725	3.3347496442637743	-0.5148386196899601	-0.65545828257027	-2.9192824579004086	5.285994124291474	5.05136203430388	5.05099867408164
ONIVA05G28570	-3.7361136757816626	-3.70995824458567	-5.0228377332990934	3.4992757425597714	4.39567566272133	4.040944722554171	-5.083265333488974	-3.470334482418231	-2.443566640160953	3.328975711879332	3.5158077338537175	4.135766131606636
ONIVA05G29080	6.729729401767564	6.05815003260875	6.279627421516709	-1.8109022724365593	-2.9418699890715168	-1.4956732345384431	6.15576203031796	5.690690948424435	5.58732925844505	-1.5514968750184943	-1.5780499686337381	-2.5195113003717315
ONIVA05G29110	0.7083257022588235	-0.10946579717301703	0.9794471133099071	8.53077868529358	7.513813002450606	8.3893590935174025	0.042303592356886965	-0.9422736315862089	0.2386217347891169	8.658882013591873	8.393848382320487	8.562299792481594
ONIVA06G09460	-5.322387019544627	-3.706072750501043	-5.0228377332990934	5.155313446194604	6.349217585317109	6.114352596265925	-3.309991978421138	-0.326809820006493	-0.44411712720204194	4.813453633525494	4.061693699899371	4.9110447290995145
ONIVA06G16500	-5.322387019544627	-5.295628724322807	-5.0228377332990934	0.6776579561413432	3.0605063497243874	2.6309179698943934	-3.501306500150466	-5.049446693642888	-2.929112857197144	3.2914469033625635	3.5720240774461263	3.8327360433687994
ONIVA06G31440	-5.322387019544627	-5.295628724322807	-5.0228377332990934	4.080472329178935	4.341692245386069	3.848695264314651	-5.083265333488974	-5.049446693642888	-5.248909221613709	5.284893247257784	4.357486053364109	4.886239881976331
ONIVA07G02560	4.344533706444057	4.270277049475849	4.8432789699448415	-2.445937391969651	-2.4416037167922986	-5.395020686486278	4.765412326713414	4.900648573084658	4.584041345059193	-4.229734407296852	-2.015382387067478	-2.812650575662428
ONIVA08G00310	-1.6837148293985644	-3.7531342772996585	-5.0228377332990934	6.148965560594768	6.5880623194909855	6.455035716798277	-1.0939100055892002	-5.049446693642888	-5.248909221613709	7.68177078446362	7.500072785773361	8.005179530538653
ONIVA08G02650	5.673397115848008	5.09034412667119	4.6465253909930215	-1.347887449804302	-2.920994830490835	-2.5867305573220025	5.961667595669181	6.4192575525999995	4.927545441684983	-2.350980124233885	-3.114980011888068	-2.8145085787554502
ONIVA08G10120	-3.000992476629128	-5.295628724322807	-3.438131543282216	6.813276646201208	6.605555827317217	7.11796554013258	-2.280508204740672	-1.8879390594251804	-2.4438225914344756	7.684600614358848	7.798390381987922	8.006825975290644
