Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0
CRR240984_f1										23.03117418365318	7.923230001407311	14.026487788881628	3.9313589894915917	4.713025561384068	1.1234723800035484	1.649564856900337																																																																																																																																																																																																																																																																																																																											
CRR240984_r2										22.54557364316286	7.579339412237285	12.833799901816892	2.9425201598463153	3.741329564757978	1.0698568226222394	2.400458850776076																																																																																																																																																																																																																																																																																																																											
CRR240985_f1										23.89800366351204	7.344979212067567	11.609696808257294	3.2827638323274804	4.1644033071110425	1.3565804950588476	1.2777602184684356																																																																																																																																																																																																																																																																																																																											
CRR240985_r2										22.569388841756087	6.452683433379697	10.160386289700696	2.5374477709898815	3.202194948550853	1.1229764864314005	1.726612068484212																																																																																																																																																																																																																																																																																																																											
CRR240986_f1										23.741744575007758	7.35327121695992	11.883657180737508	3.2910792000730695	4.191009572319966	1.0915622642969738	0.6957995830043701																																																																																																																																																																																																																																																																																																																											
CRR240986_r2										22.32695111058827	6.695098286371056	10.408298892340792	2.5578320167624	3.4041113104349994	0.6360416308873986	1.258153971062849																																																																																																																																																																																																																																																																																																																											
CRR240987_f1										25.194079460256162	7.855782913883074	12.232729884585215	3.221474810154828	4.110658565358269	1.071740371446816	0.9742137285946993																																																																																																																																																																																																																																																																																																																											
CRR240987_r2										23.95274374337691	6.956146595974019	10.3825202208514	2.719381701001507	3.3022456474680473	0.9461447999114048	1.1336506126657095																																																																																																																																																																																																																																																																																																																											
CRR240988_f1										20.494068626473013	7.179147192120899	14.109651696764104	4.7348368504042515	7.34628290699433	1.9207885392898822	1.7379596055290962																																																																																																																																																																																																																																																																																																																											
CRR240988_r2										19.70828802383319	6.714238107382525	13.207235328558726	4.100099368620388	5.639697119614026	1.382141801033467	2.008544762972739																																																																																																																																																																																																																																																																																																																											
CRR240989_f1										18.124624244353488	6.437803399949909	14.71213231539048	5.618827681944089	9.93316770612956	2.5136195167907482	1.9165728941457751																																																																																																																																																																																																																																																																																																																											
CRR240989_r2										17.297312282126178	6.271408641178683	14.584287778057606	5.89117610125819	7.963087638352271	1.4284617790482563	2.550838391303984																																																																																																																																																																																																																																																																																																																											
CRR240990_f1										21.419448787526978	7.6930976285962585	15.15500170815433	4.6884348603272725	6.195606403503367	1.6885196106206497	0.7074930792428454																																																																																																																																																																																																																																																																																																																											
CRR240990_r2										20.92537041978271	7.358326744207256	14.118026117928354	4.0018067342532495	5.031137088320099	1.1453762682865691	1.3904476971251105																																																																																																																																																																																																																																																																																																																											
CRR240991_f1										22.437760924408696	7.279470266538896	14.408523361497858	4.532849079310769	7.238156830396475	1.5336649032384013	1.0870792978134864																																																																																																																																																																																																																																																																																																																											
CRR240991_r2										21.50147600303062	6.99590591612764	14.261888754210805	4.7361828565112525	5.396228031592445	1.0993563372158173	1.3714382199416355																																																																																																																																																																																																																																																																																																																											
CRR240992_f1										22.165529858584378	7.2512339756347615	14.106491746818811	4.542311236134464	7.363743443116309	2.143787848193273	2.226099823710873																																																																																																																																																																																																																																																																																																																											
CRR240992_r2										20.986718473885947	6.98747908937717	13.842922165009483	4.323033396468838	5.631188408409415	1.8714091240078463	2.378548256616108																																																																																																																																																																																																																																																																																																																											
CRR240993_f1										22.392156311752927	7.649030302093624	14.008477357011174	4.1373891748270974	5.479620336076742	1.4235490950926872	1.2826639346513729																																																																																																																																																																																																																																																																																																																											
CRR240993_r2										21.284685016954416	7.222012039646353	13.279628478685265	3.392068442213467	4.491475795491845	1.1521477088466268	1.7028328019383885																																																																																																																																																																																																																																																																																																																											
