geneID	BJ278C1	BJ278C2	BJ278C3	BJ278P1	BJ278P2	BJ278P3	BJ89C1	BJ89C2	BJ89C3	BJ89P1	BJ89P2	BJ89P3
ONIVA01G07170	7.544111548613596	8.093093805562255	9.87664803574062	-0.9057821930318435	7.906551940547694	3.9433244433889874	10.969207890718552	11.235396100564087	10.902833191321893	-0.5452307833884789	0.7038735319031233	-0.6569888170767039
ONIVA01G07410	6.656904117707784	7.256947552596132	6.888959282837659	-3.569573433567462	1.1244787036106882	-2.935761617123796	6.5095770101863915	6.505013903541411	7.472776709374822	-1.9724413778030665	-2.344692749562158	-1.6195431933199205
ONIVA01G16640	-5.221447320240882	-5.193184689923162	-4.917701634157854	2.704163614239896	2.919178003546641	3.836440054080879	-4.942060316125676	-4.9436426567279534	-5.1335529563985025	1.1613348849518645	2.005396877459005	2.6901874435541075
ONIVA01G18800	-5.221447320240882	-5.193184689923162	-4.917701634157854	3.1204544369421807	2.2752262718320932	2.437046027398778	-4.942060316125676	-4.9436426567279534	-5.1335529563985025	1.56620877565593	1.9197312612460713	2.416977718474551
ONIVA01G18920	6.905646270387722	7.154085477013017	9.072776146026925	-1.9843177939328898	7.240200899504542	2.4215349783471765	10.336657330503446	9.655724213195926	9.90339209926115	-1.0295995749247262	-0.3777010373417406	-1.7795901111102934
ONIVA01G18960	-5.221447320240882	-5.193184689923162	-2.5950437443162517	2.3788303141582783	2.619159819614228	3.3542182883791503	-4.942060316125676	-4.9436426567279534	-5.1335529563985025	2.252455529003223	1.7749667266285383	2.3966406435697003
ONIVA01G21950	2.773662129584648	3.1952180665499466	2.1588628544007684	-2.8319263276706437	-5.14661121248395	-3.675141025656617	2.941883719085449	3.063074575950549	2.0422534785318485	-3.354494880803968	-5.806108647729095	-5.864783907602566
ONIVA01G41350	-5.221447320240882	-5.193184689923162	-4.917701634157854	5.358028719925095	5.283584430630834	4.678687882270072	-4.942060316125676	-4.9436426567279534	-5.1335529563985025	5.34296279582728	5.415019464538138	5.298858867092614
ONIVA02G31230	-2.904637940648126	-3.629062932128792	-3.3130055015856	3.9905986120810555	3.6837359800226785	3.5027881416332804	-2.1127593370578195	-4.9436426567279534	-5.1335529563985025	4.6975122718294795	4.334253561277772	4.593088878069111
ONIVA03G02020	-3.6369607889932962	-5.193184689923162	-3.330677099116506	6.2143049528741905	6.5613796715747945	5.460874371802432	-2.6217627657811007	-0.42250136514653713	-5.1335529563985025	6.041897542580114	5.8027042439030545	5.933340281126734
ONIVA03G04860	-5.221447320240882	-5.193184689923162	-4.917701634157854	3.893649407994356	5.858223679735171	6.046526970789193	-4.942060316125676	-4.9436426567279534	-5.1335529563985025	6.159827078903494	6.335442094108942	6.918309640846094
ONIVA03G05940	8.639833958817455	8.802306584726114	9.837837911376898	0.28150107047834	8.17794199788835	4.142604320614022	10.915140780757222	11.082135994988013	10.826952927985001	1.318394796054545	2.7537356228304266	1.5631157445590351
ONIVA03G15430	1.6498349451245167	1.2824177716590621	0.8111648869428995	8.465348903401171	8.77827149363354	8.875266061557	2.5856243617085686	2.7557806238563987	2.2485070044404765	9.022703808992217	8.910003583544869	9.37877799195365
ONIVA03G20710	4.427887421057335	4.433559088946872	4.376537619964473	-1.2448213081757278	0.5163627299731584	-3.6784311800105898	5.477723722913415	4.275760455871149	4.73800602023307	-5.674945861724945	-3.48330431840481	-2.1629017501117276
ONIVA03G28970	-5.221447320240882	-3.6111964519495627	-4.917701634157854	3.630629611066663	1.4172803714055446	2.4175679643966252	-3.3566227286545725	-2.1344565047734143	-5.1335529563985025	4.70995774017831	4.673669879518538	4.603391990647559
ONIVA03G33910	-0.9729210727280517	-0.24009631395830128	0.36942895919360275	6.6744940277757445	7.074381801005241	7.25733127844226	-4.942060316125676	-1.0425359908837013	0.0763466153278139	6.564753766328156	6.33058870041091	6.725869609412821
ONIVA03G35960	9.124086579278764	9.139537374615463	9.060726089922916	3.2762697762981237	1.8900707314956189	2.606189211906612	10.005037333837578	10.215829052408893	8.690908530382657	2.0060094536987996	1.1385795495475373	1.2927387319522885
ONIVA04G24020	-5.221447320240882	-5.193184689923162	-4.917701634157854	3.974036257288472	5.055049162163416	5.330768892877905	-3.359701034083921	-4.9436426567279534	-2.81322897929423	4.95329588730977	4.616988701162779	5.443734330246444
ONIVA04G24790	3.2075591315031975	1.9677824836072397	2.093907615480559	-5.1545027584558865	-5.14661121248395	-5.258798789722394	2.82830392094469	3.7681116333625106	2.8881795040770872	-5.674945861724945	-5.806108647729095	-5.864783907602566
