geneID	NC1	NC2	NC3	NP1	NP2	NP3
Os01g0197700	-0.49493833969492224	-2.429605047325392	-5.277060364331369	5.045118334396305	4.559868295652458	4.032479705056767
Os01g0725400	-0.49143238671050354	-4.748674003954157	-5.277060364331369	3.589092566177122	3.477708411064575	3.5208519339017617
Os01g0842500	-1.1103374646541098	-4.748674003954157	-2.9469798515320167	4.8853562578036485	4.684205072363622	4.363042561783537
Os01g0843800	-4.999815823641231	-4.748674003954157	-5.277060364331369	3.0980916754005845	3.21162427638327	2.5115745324086305
Os01g0910800	-0.7535248062688177	-0.10900414818972025	0.6377072116154983	9.598528479366443	8.376595913397455	8.794852770264988
Os03g0273200	-2.675067794616543	-4.748674003954157	-5.277060364331369	4.018719497048413	3.6205500255806626	3.2827003588080528
Os03g0423300	-2.6929323232528573	-4.748674003954157	-5.277060364331369	4.817897828548246	3.7986099854486595	3.755123746843574
Os03g0654700	-1.5553695031404386	-3.1655446576221857	-3.6873057087638723	4.259434662636923	4.3970422644984	3.93801212818729
Os04g0623200	2.0515685889965893	2.890472810654231	3.772824194381611	-5.199362833253406	-2.0572161223311087	-5.4404378799811495
Os05g0135500	-4.999815823641231	-1.0515323950889321	-5.277060364331369	5.349690778977966	5.012818054621281	4.84424576924998
Os06g0731000	-4.999815823641231	-4.748674003954157	-5.277060364331369	1.8799800727028468	2.743482406450354	3.2543740028754153
Os08g0231400	4.844016115521329	3.2870355516968743	4.430080442209757	-5.199362833253406	-5.514511991266452	-2.6262097327159677
Os08g0442900	-3.426070508310857	-4.748674003954157	-5.277060364331369	3.7540333114240134	2.4721504340865423	3.1522429807658843
Os09g0425200	-4.999815823641231	-3.167806464536019	-5.277060364331369	3.517864683340427	3.748806265667385	4.094785620536945
Os10g0467800	-4.999815823641231	0.534244498775022	-5.277060364331369	4.954731599845118	4.686668427931593	4.429108028413441
Os11g0454200	0.6620267119635687	-1.5818118763900602	-0.7550675051245869	8.227836000073173	6.876662547073762	6.06301149004552
Os11g0454300	3.0212608468081887	0.9755121678361637	0.5479396879627154	11.941636386712513	10.507589985521241	9.899059691435314
Os11g0659200	-2.6810278109651593	-4.748674003954157	-5.277060364331369	6.869514906093107	5.895070661554381	5.777052817671612
