	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0
CRR240976_f1	5.0	117.0	983.0	4219.0	13266.0	32146.0	66318.0	121195.0	201086.0	312703.0	471192.0	715244.0	1144261.0	2297286.0	14220360.0	5153908.0
	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0
CRR240976_r2	143.0	1758.0	7893.0	23176.0	51492.0	97265.0	159511.0	238840.0	334882.0	450809.0	601333.0	811541.0	1169466.0	2023456.0	12277540.0	6505184.0
	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0
CRR240977_f1	4.0	98.0	875.0	3925.0	12344.0	30931.0	64240.0	118143.0	197487.0	309259.0	468897.0	711262.0	1146195.0	2302277.0	14502924.0	5733846.0
	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0
CRR240977_r2	1.0	146.0	1955.0	8610.0	25803.0	57332.0	105622.0	172345.0	255559.0	355453.0	476438.0	629400.0	845393.0	1209125.0	2082910.0	12594063.0	6782552.0
	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0
CRR240978_f1	5.0	72.0	774.0	3143.0	9921.0	24777.0	51517.0	93873.0	157420.0	247308.0	375978.0	573022.0	929377.0	1876315.0	11801328.0	4477086.0
	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0
CRR240978_r2	129.0	1582.0	7187.0	21132.0	47329.0	86138.0	140529.0	208696.0	288999.0	386635.0	513116.0	685957.0	981949.0	1689196.0	10176502.0	5386840.0
	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0
CRR240979_f1	4.0	96.0	689.0	3140.0	10155.0	25312.0	52315.0	95254.0	157907.0	247852.0	374603.0	569815.0	916358.0	1842678.0	11618484.0	4335083.0
	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0
CRR240979_r2	99.0	1272.0	5887.0	17381.0	39565.0	74643.0	122142.0	183532.0	257881.0	350513.0	468647.0	636175.0	919787.0	1594016.0	10003354.0	5574851.0
	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0
CRR240980_f1	4.0	77.0	621.0	2620.0	8205.0	20618.0	44458.0	84173.0	144311.0	233689.0	365996.0	573490.0	949173.0	1922189.0	12408810.0	3860560.0
	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0
CRR240980_r2	152.0	1635.0	7054.0	20317.0	44951.0	82546.0	134430.0	198891.0	278349.0	375947.0	498264.0	677956.0	985501.0	1757938.0	10807549.0	4747514.0
	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0
CRR240981_f1	10.0	182.0	1422.0	6406.0	19820.0	48876.0	99868.0	179877.0	295443.0	454515.0	674095.0	997065.0	1548806.0	2860000.0	11521415.0	1883936.0
	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0
CRR240981_r2	123.0	1595.0	7029.0	21556.0	50917.0	98142.0	167180.0	259410.0	374027.0	517380.0	701398.0	961282.0	1395366.0	2398343.0	10584274.0	3053714.0
	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0
CRR240982_f1	7.0	169.0	1352.0	5886.0	18667.0	45344.0	93988.0	170644.0	280665.0	437386.0	652062.0	969753.0	1516059.0	2803425.0	11729990.0	2068849.0
	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0
CRR240982_r2	154.0	1829.0	8287.0	24917.0	57936.0	110256.0	185091.0	280923.0	399768.0	546710.0	732518.0	989219.0	1417227.0	2408017.0	10578323.0	3053071.0
	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0
CRR240983_f1	2.0	103.0	660.0	2757.0	9044.0	22532.0	48302.0	91211.0	157437.0	255464.0	401759.0	632355.0	1050365.0	2148422.0	13175726.0	3523806.0
	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0
CRR240983_r2	161.0	1895.0	8244.0	23413.0	50853.0	93806.0	152107.0	224403.0	312315.0	419949.0	558685.0	758452.0	1104781.0	1983247.0	11525632.0	4302002.0
	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0
CRR240984_f1	8.0	73.0	609.0	2739.0	8649.0	22204.0	48546.0	93364.0	163332.0	269339.0	428395.0	684271.0	1162495.0	2441439.0	14416268.0	2982141.0
	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0
CRR240984_r2	197.0	1987.0	8857.0	25271.0	56180.0	102724.0	166928.0	246662.0	344889.0	463609.0	615826.0	836549.0	1221257.0	2191729.0	12205157.0	4236050.0
	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0
CRR240985_f1	6.0	183.0	1430.0	6408.0	21084.0	52157.0	110294.0	201728.0	334058.0	516425.0	773925.0	1146199.0	1787603.0	3296684.0	14252653.0	2761865.0
	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0
CRR240985_r2	144.0	1881.0	8980.0	27632.0	64336.0	124844.0	210141.0	323178.0	460366.0	632618.0	849074.0	1152270.0	1655048.0	2810459.0	12834642.0	4107089.0
	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0
CRR240986_f1	3.0	145.0	999.0	4351.0	14002.0	34537.0	73206.0	135880.0	228580.0	362631.0	555184.0	853643.0	1382834.0	2789736.0	15492179.0	5341033.0
	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0
CRR240986_r2	208.0	2425.0	10801.0	31808.0	71714.0	133631.0	217265.0	323999.0	452200.0	611301.0	814601.0	1115005.0	1651579.0	2955042.0	13480606.0	5396758.0
	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0
