Sample	1	2	3	4	5	6	7	8	9	10	12	14	16	18	20	22	24	26	28	30	32	34	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92	94	96	98	100	102	104	106	108	110	112
CRR240976_f1	0.0	0.0	3.2317631906131495e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09286269543027473	0.07342565969073077	0.0	0.0	0.0	0.0	0.0	8.079407976532874e-06	0.0017613109388841667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0099259970666094e-05	0.0011678487599486873	0.0013576878660622911	0.00023913267632103374	0.00031071243884651196	9.780281493616878e-05	1.4366682268199483e-05	0.0
CRR240976_r2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.477796499233678e-05	3.302054552789234e-05	0.0
CRR240977_f1	0.0	0.0	3.1246695906022754e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09399982587778706	0.0742304319617453	0.0	0.0	0.0	0.0	0.0	9.76459247063211e-06	0.0016677923939839641	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.905836988252844e-06	0.001144758636627627	0.0014260334355741275	0.00018807195546816566	0.00037886492774339136	0.00013194174830890557	7.932098382292162e-06	0.0
CRR240977_r2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.780487706444582e-05	2.7942387825932736e-05	0.0
CRR240978_f1	0.0	0.0	2.9095259625730218e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09334244208928016	0.07394075312885573	0.0	0.0	0.0	0.0	0.0	1.9396839750486814e-05	0.00168025124338592	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.697223478167596e-05	0.001047740819771335	0.001369714904042728	0.00019457114403892629	0.00034360791675564525	0.00010267278528018412	1.723054189365034e-05	0.0
CRR240978_r2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.422605835230365e-05	3.967045554228744e-05	0.0
CRR240979_f1	0.0	0.0	1.4815001374091378e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09462341377632164	0.07371697767058302	0.0	0.0	0.0	0.0	0.0	7.407500687045689e-06	0.001661749320793916	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.938333791363792e-06	0.0011435964968700035	0.0013480743240619295	0.000225449972130915	0.00042205487994499984	0.00011707357122417307	1.0035978732857827e-05	0.0
CRR240979_r2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.7486536407304294e-05	3.5273245963518696e-05	0.0
CRR240980_f1	0.0	0.0	0.0	0.00021824537123392153	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11795192335765751	0.0	0.0	0.0	0.0	0.0	0.0	0.0003855668225132613	0.0002885688797426295	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001275920253237666	0.00024288588458480526	0.0007711132698498726	7.31213605213826e-06	1.2226448796891763e-05	0.0	0.0
