Sample	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0	42.0	43.0	44.0	45.0	46.0	47.0	48.0	49.0	50.0	51.0	52.0	53.0	54.0	55.0	56.0	57.0	58.0	59.0	60.0	61.0	62.0	63.0	64.0	65.0	66.0	67.0	68.0	69.0	70.0	71.0	72.0	73.0	74.0	75.0	76.0	77.0	78.0	79.0	80.0	81.0	82.0	83.0	84.0	85.0	86.0	87.0	88.0	89.0	90.0	91.0	92.0	93.0	94.0	95.0	96.0	97.0	98.0	99.0	100.0
CRR240976_f1	31.0	16.5	7.0	9.0	6.0	7.5	9.0	10.0	10.5	14.0	22.5	23.0	27.5	42.0	67.0	107.5	151.5	217.5	352.0	611.0	1004.5	1511.0	2427.0	4020.5	6079.0	8677.5	11988.5	15952.5	21471.0	29534.0	40329.0	52162.5	71977.0	97687.5	126835.5	159154.5	194187.0	238445.5	286330.0	338008.0	393035.0	457272.5	528680.0	585673.5	625506.0	646700.5	654508.5	674270.0	662092.0	671306.5	674508.0	613576.5	562625.5	567655.5	615429.5	628535.0	609808.0	583903.0	545065.5	529663.0	572343.0	588778.5	605878.0	643789.0	652471.0	684207.0	736653.5	746716.0	739471.0	735944.0	702966.0	663908.5	609802.0	545001.5	480448.0	404014.0	334648.0	263815.5	193690.0	133918.5	83462.0	50666.5	26744.0	10498.0	3750.0	1083.0	253.5	33.0	7.5	2.5	1.5	1.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CRR240976_r2	578.0	324.0	52.0	30.5	21.0	14.0	10.5	4.5	4.5	6.0	11.0	22.0	43.5	71.0	105.0	144.0	218.0	346.5	666.5	912.5	1212.0	1799.5	2484.0	4083.5	6552.0	8005.0	9271.5	12600.0	16864.0	21102.0	27844.0	35865.5	43783.0	54894.5	70616.5	91325.0	120182.0	159707.5	198320.5	242845.0	294476.5	346387.5	399079.5	446765.0	492460.0	530652.5	561243.5	595351.5	670493.0	710880.0	656501.5	621768.5	601360.0	572579.5	576930.0	589030.5	581842.0	572511.0	551266.5	538808.0	570629.5	584229.0	594785.0	604938.0	622856.5	673802.5	739155.5	784520.5	796709.5	789010.0	787969.0	797086.5	764224.0	708169.0	644799.0	570024.0	488802.5	399050.0	303540.5	206108.5	126197.0	75777.0	42696.0	23044.0	9968.5	2412.0	560.5	113.0	29.5	7.0	4.5	3.5	3.0	3.0	1.5	1.0	1.0	3.0	3.5	1.5	5.5
CRR240977_f1	26.0	20.0	13.5	10.5	9.0	7.0	7.0	8.5	11.0	17.5	17.0	17.5	22.5	39.5	71.0	104.5	144.0	202.0	310.5	571.5	1065.5	1697.5	2853.0	4985.5	7528.0	10152.0	14246.0	18914.5	24133.0	32123.0	43476.0	56751.5	78880.0	105909.0	134104.0	165046.0	201064.5	247283.5	296848.5	347416.0	399859.5	463154.0	532859.5	591584.5	635369.5	659984.5	672365.5	702032.5	695036.5	731983.5	759759.0	685176.0	617485.5	618057.5	672194.0	692245.0	672393.0	638787.0	594354.5	575343.0	616970.0	622007.0	630411.0	673405.0	674692.5	683896.0	731207.0	742567.0	725979.0	714062.0	678744.5	645231.5	589996.5	523442.5	463561.5	391938.5	327347.5	259393.0	191710.0	133953.5	83600.0	50063.0	26574.0	10664.5	3824.5	1078.5	235.5	25.0	4.5	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CRR240977_r2	625.0	345.5	53.0	35.5	20.5	8.0	9.5	10.0	9.5	11.5	17.5	29.5	48.5	65.5	104.0	174.5	261.5	395.5	694.0	967.0	1321.0	2007.0	2764.5	4742.5	7605.5	9005.5	10391.0	14121.0	18695.0	23290.0	30293.0	38816.5	46871.5	57878.5	73576.5	94219.0	123868.5	163158.5	202177.0	245878.0	296341.0	349639.5	403209.0	451266.5	497786.0	539950.0	576610.0	620094.5	731138.5	804846.5	738463.5	690366.0	670173.5	635063.5	639572.0	655819.0	645840.5	633597.5	606097.5	581284.5	611077.0	617669.0	617982.0	628766.5	638035.5	677401.5	744512.0	789801.5	798309.0	785495.5	774033.5	781695.0	750294.5	691251.0	625658.5	548994.0	464317.0	375010.0	284888.0	193275.5	117936.0	70825.5	39903.5	21759.5	9550.5	2207.0	482.0	86.0	27.5	13.0	9.0	6.0	4.5	3.5	1.0	0.5	0.5	0.5	2.5	3.5	4.0
CRR240978_f1	12.0	8.5	5.0	6.0	7.0	6.0	8.0	11.5	11.5	14.5	17.0	25.0	29.5	28.5	47.5	82.5	117.0	155.0	266.0	445.0	711.5	1101.5	1906.0	3143.5	4676.5	6729.0	9375.0	12497.0	16843.0	23114.0	31647.5	41439.0	57881.5	79484.5	102841.5	128341.0	155944.0	191730.5	231664.0	273211.0	318580.5	371901.0	429225.0	477561.0	514618.0	535642.0	542523.5	558060.0	549355.0	551258.0	549613.0	503252.5	467165.5	476224.0	522771.5	540778.5	520816.5	492618.0	457539.5	443036.0	478800.0	489030.0	496993.0	526714.5	529938.0	542743.0	580665.5	594948.5	591565.5	588927.0	567260.5	545749.5	504895.0	456042.5	411981.5	355116.0	304085.0	250251.0	194098.5	147868.0	104665.5	73467.5	46876.0	22990.0	11187.5	4944.0	1677.5	253.5	51.5	6.5	3.5	1.5	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5
CRR240978_r2	420.0	247.5	52.0	24.0	15.5	9.0	7.0	5.5	3.0	4.0	9.0	14.5	22.0	42.5	68.0	108.5	154.5	255.5	490.0	634.0	849.5	1283.0	1777.5	3121.5	5096.5	6071.5	7039.5	9582.0	12976.0	16510.0	21350.0	27133.0	33426.5	42290.5	54594.5	70973.5	94696.5	128100.5	160781.5	196365.0	236900.0	278421.5	320818.0	359326.5	398635.0	432106.5	458195.5	488123.0	544611.5	576679.5	543415.5	526678.0	513926.0	484291.5	483359.5	492539.0	487864.0	480645.5	459998.5	447777.0	472865.5	478715.5	483223.0	495232.0	508397.0	544145.5	597681.5	635759.5	646494.0	639872.5	636146.0	647270.5	629205.0	590124.5	545627.0	492017.0	431863.5	364402.0	290490.5	210470.5	141218.0	95973.0	63153.0	39969.5	20550.0	7002.5	2586.0	602.5	97.0	25.0	6.0	3.0	3.0	0.0	1.0	3.0	2.0	0.5	1.0	1.0	5.5
CRR240979_f1	29.0	21.5	16.5	16.0	14.0	19.5	20.0	19.0	23.0	27.0	31.0	31.0	32.0	47.0	69.5	91.0	127.0	208.0	325.0	597.0	1013.0	1492.0	2121.5	3194.0	5232.0	7492.5	10244.5	13715.5	18439.0	25666.5	36459.5	49089.5	67201.0	92798.0	123296.5	156711.5	194506.5	242305.0	295578.5	348821.5	400630.0	456979.5	511641.0	562271.5	597810.0	618822.0	629434.5	646575.5	641023.5	655165.5	662179.5	603681.0	550036.0	538631.0	604835.0	644251.0	585950.0	510310.0	448436.0	412039.0	435953.5	434547.5	434170.0	447912.5	432142.5	443714.0	489629.5	499254.0	469520.5	446232.5	417877.5	405972.5	366080.5	312519.5	275616.5	234358.5	197576.5	160033.5	125831.0	93053.5	60976.5	41263.0	26405.5	12630.0	5588.0	2191.0	741.5	99.5	23.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CRR240979_r2	1190.0	686.0	124.0	53.5	36.0	24.5	18.0	15.0	10.0	8.0	10.5	13.5	33.0	43.5	69.5	129.5	175.0	283.0	543.0	696.5	880.0	1384.5	1864.5	2944.5	4618.5	5878.0	7174.5	9779.0	13263.0	16586.0	22047.5	28724.5	35680.5	45404.5	59354.0	78255.0	103813.0	141895.5	179950.0	225350.0	276640.5	323489.0	371112.0	414795.0	462532.5	505461.5	539163.0	588704.5	682662.5	729835.0	655195.0	610615.0	600922.0	551798.5	537738.0	541748.0	519201.5	513880.0	490362.0	450339.5	454358.5	445047.0	440679.0	447229.5	453536.0	486627.5	546768.0	574359.5	562930.5	542828.5	523331.5	523327.0	493162.5	445826.5	407172.5	362728.5	315190.0	262468.0	209281.5	151092.5	96759.0	64424.5	41432.5	26091.5	13212.0	3709.0	1196.5	262.0	56.5	16.5	4.5	1.5	1.5	2.0	1.5	1.0	1.5	2.0	1.0	1.5	7.5
CRR240980_f1	8.0	6.5	4.0	2.5	2.0	2.0	4.0	6.0	6.0	7.0	10.0	11.0	13.5	18.5	24.5	48.5	78.0	128.0	239.5	430.0	742.0	1181.5	1884.0	3148.0	5241.5	7352.0	9841.5	12792.0	17010.5	23913.5	33608.5	43829.0	59219.5	79730.5	103721.0	132644.0	164937.0	204026.5	248005.0	292494.5	334213.0	381051.0	435990.0	475099.0	498237.0	514671.0	523059.5	539609.0	537055.5	568171.5	588818.0	528559.5	467506.0	450741.5	494137.5	519264.5	481491.0	449951.0	422374.0	412029.5	458807.5	477270.0	487236.0	516988.0	529668.0	569506.0	616402.0	618939.5	613308.0	618732.5	605494.5	572662.0	515889.5	459187.5	413596.5	359793.0	308479.0	254255.5	197595.5	146377.0	97785.0	59172.0	31777.0	13754.5	5531.5	1867.0	436.0	70.5	11.5	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
